gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Female,Fall,Right,Sophomore,Other,U.S.,Yes,No,No,Evening,1,175,0,I am not sure,2,2,1,0.1,8,8,4,3.9,2,2,No,4,2,4,75
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Depends,3,35,0,No,3,3,0,4,7,9,3.9,3.6,0,0,No,60,67,4,78
Male,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,0,25,10,No,1,0.5,1,1,6,7,3.85,NA,0,0,Yes,15,10,7,80
Female,Spring,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Evening,2,130,20,No,0.5,3,0,2,9,9,4,3.7,0,0,No,336,212,6,99
Female,Summer,Left,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Depends,4,55,20,No,1,6,2,0.5,9,10,3.8,NA,0,0,No,60,45,4,108
Female,Spring,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Yes,Depends,3,60,0,Yes,1,4,2,2,8,8,3.89,3.442,0,0,No,120,120,4,31
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Evening,6,70,50,No,2,4,2,2,7,9,3.8,3.2,2,0,Yes,685,618,5,175
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,Yes,Evening,4,75,2,Yes,1,4,2,3,8,8,3.94,3.792,0,1,No,134,114,4,113
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Morning,1,20,0,No,1,3,1,2,7,8,3.9,3.4,0,0,No,10,4,6,65
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,No,Evening,9,175,0,Yes,1,3,2,2,6,8,3.86,3.2,4,0,Yes,33,25,4,54
Male,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,Yes,Morning,5,25,100,No,2,3,2,2,9,10,3.9,3.4,0,0,No,183,165,5,75
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Morning,5,333,0.24,No,2,5,1,0.5,8,10,3.7,NA,0,0,No,300,300,6,175
Female,Fall,Left,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Yes,Depends,3,30,0,Yes,1.5,2,2,2,8,7,3.65,3.4,1,0,No,11,10,4,90
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Yes,Depends,2,140,0,Yes,2,3,1,1,6,8,3.3,NA,1,0,Yes,120,90,5,122
Male,Winter,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,2,40,0,No,2,3,2,2,9,9,3.8,3.3,2,0,Yes,90,90,4,116
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Morning,9,50,40,No,3,5,2,0.5,8,9,3.53,NA,0,0,No,11,9,6,42
Male,Winter,Right,Senior,College of Liberal Arts (CLA),U.S.,No,No,No,Evening,1,35,0,No,0.75,2,0,2.5,6.5,9,3.9,3.97,0,0,No,164,339,6,173
Female,Summer,Right,Senior,College of Science of Engineering (CSE),U.S.,Yes,Yes,Yes,Evening,4,36,0,No,1,6,0,2,5,8,3.7,3,0,2,Yes,60,45,6,80
